IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
38.180.143.51,38.180.143.51,2053,1.62,AT,FRA,105.78,155.92
38.180.143.51,38.180.143.51,8443,1.32,AT,FRA,104.17,153.51
38.180.18.247,38.180.18.247,2053,3.74,BE,AMS,93.05,105.92
38.180.18.247,38.180.18.247,8443,2.74,BE,AMS,87.97,113.54
185.206.146.190,2a07:5741:0:f1f::1,8443,3.02,BG,SOF,113.52,142.79
96.9.226.188,2606:6080:2001:10b4::a,443,57.9,CA,YYZ,19.64,26.0
40.233.71.238,2603:c021:5:8c88::1006,443,31.47,CA,YYZ,21.79,29.84
167.160.188.181,167.160.188.181,8443,15.21,CA,YYZ,30.44,57.23
51.79.49.152,2607:5300:205:200::1ae,443,15.16,CA,YYZ,19.34,52.27
40.233.103.212,2603:c021:5:8c88::1008,443,14.61,CA,YYZ,20.42,40.3
44.32.224.206,2602:f95c:ca1:c0de::21:2002,443,13.92,CA,YVR,71.38,109.62
40.233.110.251,2603:c021:4:9a88::1018,443,13.13,CA,YYZ,25.53,30.12
192.99.55.53,2607:5300:205:200::c87,8443,10.64,CA,YYZ,21.52,42.33
44.32.224.206,2602:f95c:ca1:c0de::21:2002,2053,10.37,CA,YVR,80.47,93.77
40.233.99.248,2603:c021:4:9a88::1020,443,7.89,CA,YYZ,21.73,36.71
40.233.87.120,2603:c021:4:9a88::1016,443,7.88,CA,YYZ,19.24,30.47
40.233.77.216,2603:c021:5:8c88::825,443,5.78,CA,YYZ,24.03,37.69
149.248.56.22,2001:19f0:b001:7f4:5400:5ff:fed7:7c94,443,4.85,CA,YYZ,23.49,29.83
23.173.104.205,2602:f95c:ca1:c0de::21:2002,443,4.74,CA,YVR,71.97,127.21
172.105.26.26,2600:3c04::2000:adff:fec0:e62e,443,3.79,CA,YYZ,22.15,29.38
23.173.104.205,2602:f95c:ca1:c0de::21:2002,2053,2.38,CA,YVR,72.42,108.0
172.105.26.26,2600:3c04::2000:adff:fec0:e62e,2053,2.19,CA,YYZ,21.43,27.48
91.245.225.17,91.245.225.17,443,13.42,CH,ZRH,113.02,155.29
38.180.162.104,38.180.162.104,443,10.4,CH,MXP,105.19,240.66
51.34.85.34,51.34.85.34,443,7.98,CH,ZRH,163.43,193.47
38.180.84.40,38.180.84.40,443,7.54,CH,MXP,98.5,146.14
152.67.85.239,152.67.85.239,443,7.44,CH,ZRH,148.8,128.43
94.131.3.4,94.131.3.4,443,7.33,CH,ZRH,183.71,120.92
83.228.193.177,83.228.193.177,8443,6.54,CH,ZRH,103.3,159.34
140.238.208.210,140.238.208.210,443,6.21,CH,ZRH,100.48,165.12
82.38.64.162,82.38.64.162,443,5.91,CH,ZRH,215.37,313.84
94.131.12.56,94.131.12.56,443,5.83,CH,ZRH,97.13,107.34
83.228.193.177,83.228.193.177,443,5.24,CH,ZRH,103.73,137.27
79.132.141.178,79.132.141.178,443,4.45,CH,ZRH,99.92,115.9
5.182.36.39,5.182.36.39,443,4.18,CH,ZRH,98.58,116.07
83.228.198.53,83.228.198.53,8443,4.1,CH,ZRH,111.58,121.4
167.148.183.40,167.148.183.40,443,3.4,CH,GVA,108.94,117.3
83.228.198.53,83.228.198.53,443,2.99,CH,ZRH,100.94,124.73
91.90.193.138,91.90.193.138,443,2.98,CH,GVA,99.97,107.07
